DateTime,Actual,Consensus,Previous,Revised
10/07/2019 15:30:00,1.68,,1.84,
09/30/2019 15:30:00,1.84,,1.905,
09/23/2019 15:30:00,1.905,,1.945,
09/16/2019 15:30:00,1.945,,1.92,
09/09/2019 15:30:00,1.92,,1.93,
09/03/2019 15:30:00,1.93,,1.95,
08/26/2019 15:30:00,1.95,,1.9,
08/19/2019 15:30:00,1.9,,1.96,
08/12/2019 15:30:00,1.96,,1.99,
08/05/2019 15:30:00,1.99,,2.07,
07/29/2019 15:30:00,2.07,,2.04,
07/22/2019 15:30:00,2.04,,2.115,
07/15/2019 15:30:00,2.115,,2.21,
07/08/2019 15:30:00,2.21,,2.145,
07/01/2019 15:30:00,2.145,,2.085,
06/24/2019 15:30:00,2.085,,2.17,
06/17/2019 15:30:00,2.17,,2.24,
06/10/2019 15:30:00,2.24,,2.3,
06/03/2019 15:30:00,2.3,,2.31,
05/28/2019 17:00:00,2.31,,2.335,
05/20/2019 15:30:00,2.335,,2.36,
05/13/2019 15:33:47,2.36,,2.38,
05/06/2019 15:30:00,2.38,,2.385,
04/29/2019 15:30:00,2.385,,2.4,
04/22/2019 15:30:00,2.4,,2.38,
04/15/2019 15:30:00,2.38,,2.375,
04/08/2019 15:30:00,2.375,,2.38,
04/01/2019 15:30:00,2.38,,2.41,
03/25/2019 15:30:00,2.41,,2.41,
03/18/2019 15:30:00,2.41,,2.405,
03/11/2019 15:30:00,2.405,,2.41,
03/04/2019 16:30:00,2.41,,2.405,
02/25/2019 16:30:00,2.405,,2.395,
02/19/2019 16:30:00,2.395,,2.4,
02/11/2019 16:30:00,2.4,,2.385,
02/04/2019 16:30:00,2.385,,2.375,
01/28/2019 18:00:00,2.375,,2.405,
01/14/2019 16:30:00,2.405,,2.41,
01/07/2019 16:30:00,2.41,,2.415,
12/24/2018 16:30:00,2.415,,2.375,
12/17/2018 16:30:00,2.375,,2.375,
12/10/2018 16:30:00,2.375,,2.365,
12/03/2018 16:30:00,2.365,,2.37,
11/26/2018 16:30:00,2.37,,2.345,
11/19/2018 16:30:00,2.345,,2.34,
11/13/2018 16:30:00,2.34,,2.32,
11/05/2018 16:30:00,2.32,,2.305,
10/29/2018 15:30:00,2.305,,2.3,
10/22/2018 15:30:00,2.3,,2.27,
10/15/2018 15:30:00,2.27,,2.22,
10/09/2018 15:30:00,2.22,,2.175,
10/01/2018 15:30:00,2.175,,2.18,
09/24/2018 15:30:00,2.18,,2.125,
09/17/2018 15:30:00,2.125,,2.11,
09/10/2018 15:30:00,2.11,,2.095,
09/04/2018 15:30:00,2.095,,2.08,
08/27/2018 15:30:00,2.08,,2.035,
08/20/2018 15:30:00,2.035,,2.03,
08/13/2018 15:30:00,2.03,,2.01,
08/06/2018 15:30:00,2.01,,2,
07/30/2018 15:30:00,2,,1.97,
07/23/2018 15:30:00,1.97,,1.98,
07/16/2018 15:30:00,1.98,,1.945,
07/09/2018 15:30:00,1.945,,1.94,
07/02/2018 15:30:00,1.94,,1.9,
