DateTime,Actual,Consensus,Previous,Revised
10/10/2019 15:30:00,1.72,,1.75,
10/03/2019 15:30:00,1.75,,1.88,
09/26/2019 15:30:00,1.88,,1.95,
09/19/2019 15:30:00,1.95,,1.94,
09/12/2019 15:30:00,1.94,,2.025,
09/05/2019 15:30:00,2.025,,2.06,
08/29/2019 15:30:00,2.06,,2.06,
08/22/2019 15:30:00,2.06,,2.04,
08/15/2019 15:30:00,2.04,2.04,2.065,
08/08/2019 15:30:00,2.065,,2.08,
08/01/2019 15:30:00,2.08,,2.11,
07/25/2019 15:30:00,2.11,,2.09,
07/18/2019 15:30:00,2.09,,2.135,
07/11/2019 15:30:00,2.135,,2.21,
07/03/2019 15:30:00,2.21,,2.145,
06/27/2019 15:30:00,2.145,,2.14,
06/20/2019 15:30:00,2.14,,2.215,
06/13/2019 15:30:00,2.215,,2.29,
06/06/2019 15:30:00,2.29,,2.33,
05/30/2019 15:30:00,2.33,,2.335,
05/23/2019 15:30:00,2.335,,2.365,
05/16/2019 15:30:00,2.365,,2.385,
05/09/2019 15:30:00,2.385,,2.39,
05/02/2019 15:30:00,2.39,,2.39,
04/25/2019 15:30:00,2.39,,2.4,
04/18/2019 15:30:00,2.4,,2.375,
04/11/2019 15:30:00,2.375,,2.39,
04/04/2019 15:30:00,2.39,,2.4,
03/28/2019 15:30:00,2.4,,2.47,
03/21/2019 15:30:00,2.47,,2.42,
03/14/2019 15:30:00,2.42,,2.405,
03/07/2019 16:30:00,2.405,,2.41,
02/28/2019 16:30:00,2.41,,2.39,
02/21/2019 16:30:00,2.39,,2.395,
02/14/2019 16:30:00,2.395,,2.39,
02/07/2019 16:30:00,2.39,,2.39,
01/31/2019 16:30:00,2.39,,2.355,
01/24/2019 16:30:00,2.355,,2.37,
01/17/2019 16:30:00,2.37,,2.38,
01/10/2019 16:30:00,2.38,,2.39,
01/03/2019 16:30:00,2.39,,2.4,
12/27/2018 16:30:00,2.4,,2.36,
12/20/2018 16:30:00,2.36,,2.325,
12/13/2018 16:30:00,2.325,,2.365,
12/06/2018 16:30:00,2.365,,2.32,
12/04/2018 16:30:00,2.32,,2.27,
11/27/2018 16:30:00,2.27,,2.2,
11/20/2018 16:30:00,2.2,,2.2,
11/13/2018 16:30:00,2.2,,2.2,
11/06/2018 16:30:00,2.2,,2.165,
10/30/2018 15:30:00,2.165,,2.18,
10/23/2018 15:30:00,2.18,,2.155,
10/16/2018 15:30:00,2.155,,2.135,
10/09/2018 15:30:00,2.135,,2.105,
10/02/2018 15:30:00,2.105,,2.08,
09/25/2018 15:30:00,2.08,,2.02,
09/18/2018 15:30:00,2.02,,1.975,
09/11/2018 15:30:00,1.975,,1.97,
09/04/2018 15:30:00,1.97,,1.93,
08/28/2018 15:30:00,1.93,,1.91,
08/21/2018 15:30:00,1.91,,1.91,
08/14/2018 15:30:00,1.91,,1.905,
08/07/2018 15:30:00,1.905,,1.91,
07/31/2018 15:30:00,1.91,,1.88,
07/24/2018 15:30:00,1.88,,1.88,
07/17/2018 15:30:00,1.88,,1.85,
07/10/2018 15:30:00,1.85,,1.86,
07/02/2018 15:30:00,1.86,,1.77,
06/26/2018 15:30:00,1.77,,1.815,
06/19/2018 15:30:00,1.815,,1.79,
06/12/2018 15:30:00,1.79,,1.78,
06/05/2018 15:30:00,1.78,,1.75,
05/29/2018 15:30:00,1.75,,1.72,
05/22/2018 15:30:00,1.72,,1.655,
05/15/2018 15:30:00,1.655,,1.66,
05/08/2018 15:30:00,1.66,,1.65,
05/01/2018 15:30:00,1.65,,1.68,
04/24/2018 15:30:00,1.68,,1.63,
04/17/2018 15:30:00,1.63,,1.62,
04/10/2018 15:30:00,1.62,,1.695,
04/03/2018 15:30:00,1.695,,1.705,
03/27/2018 15:30:00,1.705,,1.72,
03/20/2018 15:30:00,1.72,,1.65,
03/13/2018 15:30:00,1.65,,1.55,
03/06/2018 16:30:00,1.55,,1.495,
02/27/2018 16:30:00,1.495,,1.38,
