DateTime,Actual,Consensus,Previous,Revised
10/08/2019 20:30:00,4.13,,-5.92,
10/01/2019 20:30:00,-5.92,,1.4,
09/24/2019 20:30:00,1.4,,0.592,
09/17/2019 21:30:00,0.592,,-7.2,
09/10/2019 20:30:00,-7.2,,0.401,
09/04/2019 20:30:00,0.401,,-11.1,
08/27/2019 20:30:00,-11.1,,-3.5,
08/20/2019 21:30:00,-3.5,,3.7,
08/13/2019 20:30:00,3.7,,-3.4,
08/06/2019 20:30:00,-3.4,,-6.024,
07/30/2019 20:30:00,-6.024,,-10.961,
07/23/2019 20:30:00,-10.961,,-1.401,
07/16/2019 20:30:00,-1.401,,-8.129,
07/09/2019 20:30:00,-8.129,,-5,
07/02/2019 20:30:00,-5,,-7.55,
06/25/2019 20:30:00,-7.55,,-0.812,
06/18/2019 20:30:00,-0.812,,4.85,
06/11/2019 20:30:00,4.85,,3.545,
06/04/2019 20:30:00,3.545,,-5.265,
05/29/2019 20:30:00,-5.265,,2.4,
05/21/2019 21:30:00,2.4,,8.6,
05/14/2019 20:30:00,8.6,,2.806,
05/07/2019 20:30:00,2.806,,6.81,
04/30/2019 20:30:00,6.81,,6.9,
04/23/2019 20:30:00,6.9,,-3.096,
04/16/2019 20:30:00,-3.096,,4.091,
04/09/2019 20:30:00,4.091,,2.963,
04/02/2019 20:30:00,2.963,,1.927,
03/26/2019 20:30:00,1.927,,-2.133,
03/19/2019 20:30:00,-2.133,,-2.58,
03/12/2019 20:30:00,-2.58,,7.29,
03/05/2019 21:30:00,7.29,,-4.2,
02/26/2019 21:30:00,-4.2,,1.26,
02/20/2019 21:30:00,1.26,,-0.998,
02/12/2019 21:30:00,-0.998,,2.514,
02/05/2019 21:30:00,2.514,,2.098,
01/29/2019 21:30:00,2.098,,6.55,
01/23/2019 21:30:00,6.55,,-0.56,
01/15/2019 21:30:00,-0.56,,-6.27,
01/08/2019 21:30:00,-6.27,,-4.5,
01/03/2019 21:30:00,-4.5,,6.92,
12/27/2018 21:30:00,6.92,,3.45,
12/18/2018 21:30:00,3.45,,-10.18,
12/11/2018 21:30:00,-10.18,,5.36,
12/04/2018 21:30:00,5.36,,3.453,
11/27/2018 21:30:00,3.453,,-1.545,
11/20/2018 21:30:00,-1.545,,8.79,
11/14/2018 21:30:00,8.79,,7.83,
11/06/2018 21:30:00,7.83,,5.7,
10/30/2018 20:30:00,5.7,,9.88,
10/23/2018 20:30:00,9.88,,-2.1,
10/16/2018 20:30:00,-2.1,,9.75,
10/10/2018 20:30:00,9.75,,0.907,
10/02/2018 20:30:00,0.907,,2.903,
09/25/2018 20:30:00,2.903,,1.25,
09/18/2018 20:30:00,1.25,,-8.636,
09/11/2018 20:30:00,-8.636,,-1.2,
09/05/2018 20:30:00,-1.2,,0.038,
08/28/2018 20:30:00,0.038,,-5.17,
08/21/2018 20:30:00,-5.17,,3.66,
08/14/2018 20:30:00,3.66,,-6,
08/07/2018 20:30:00,-6,,5.59,
07/31/2018 20:30:00,5.59,,-3.16,
07/24/2018 20:30:00,-3.16,,0.629,
07/17/2018 20:30:00,0.629,,-6.796,
07/10/2018 20:30:00,-6.796,,-4.5,
07/03/2018 20:30:00,-4.5,,-9.228,
06/26/2018 20:30:00,-9.228,,-3.016,
06/19/2018 20:30:00,-3.016,,0.833,
06/12/2018 20:30:00,0.833,,-2.028,
06/05/2018 20:30:00,-2.028,,1.001,
05/30/2018 20:30:00,1.001,,-1.3,
05/22/2018 20:30:00,-1.3,,4.854,
05/15/2018 20:30:00,4.854,,-1.85,
05/08/2018 20:30:00,-1.85,,3.427,
05/01/2018 20:30:00,3.427,,1.099,
04/24/2018 20:30:00,1.099,,-1.047,
04/17/2018 20:30:00,-1.047,0.625,1.758,
04/10/2018 20:30:00,1.758,,-3.28,
04/03/2018 20:30:00,-3.28,,5.321,
03/27/2018 20:30:00,5.321,,-2.739,
03/20/2018 20:30:00,-2.739,,1.156,
03/13/2018 20:30:00,1.156,,5.661,
03/06/2018 21:30:00,5.661,,0.933,
02/27/2018 21:30:00,0.933,,-0.907,
02/21/2018 21:30:00,-0.907,,3.94,
02/13/2018 21:30:00,3.94,,-1.05,
02/06/2018 21:30:00,-1.05,2.5,3.229,
01/30/2018 21:30:00,3.229,,4.755,
01/23/2018 21:30:00,4.755,,-5.121,
01/17/2018 21:30:00,-5.121,,-11.19,
01/09/2018 21:30:00,-11.19,,-4.992,
01/03/2018 21:30:00,-4.992,,-6,
12/27/2017 21:30:00,-6,,-5.222,
12/19/2017 21:30:00,-5.222,,-7.382,
12/12/2017 21:30:00,-7.382,,-5.481,
12/05/2017 21:30:00,-5.481,,1.821,
11/28/2017 21:30:00,1.821,,-6.356,
11/21/2017 21:35:00,-6.356,,6.513,
11/14/2017 21:30:00,6.513,,-1.562,
11/07/2017 21:30:00,-1.562,,-5.087,
10/31/2017 20:30:00,-5.087,,0.519,
10/24/2017 20:30:00,0.519,,-7.13,
10/17/2017 20:30:00,-7.13,,3.097,
10/11/2017 20:30:00,3.097,,-4.079,
