DateTime,Actual,Consensus,Previous,Revised
10/04/2019 19:30:00,-66,,-60.7,
09/27/2019 19:30:00,-60.7,,-68.6,
09/20/2019 19:30:00,-68.6,,-49.8,
09/13/2019 19:30:00,-49.8,,-49.1,
09/06/2019 19:30:00,-49.1,,-38.8,
08/30/2019 19:30:00,-38.8,,-38,
08/23/2019 19:30:00,-38,,-46.6,
08/16/2019 19:30:00,-46.6,,-44,
08/09/2019 19:30:00,-44,,-54,
08/02/2019 19:30:00,-54,,-39,
07/26/2019 19:30:00,-39,,-31.4,
07/19/2019 19:30:00,-31.4,,-35.9,
07/12/2019 19:30:00,-35.9,,-31,
07/08/2019 19:30:00,-31,,-56.3,
06/28/2019 19:30:00,-56.3,,-52.3,
06/21/2019 19:30:00,-52.3,,-86.8,
06/14/2019 19:30:00,-86.8,,-87.6,
06/07/2019 19:30:00,-87.6,,-99.7,
05/31/2019 19:30:00,-99.7,,-101.1,
05/24/2019 19:30:00,-101.1,,-95.3,
05/17/2019 19:30:00,-95.3,,-106.1,
05/10/2019 19:30:00,-106.1,,-105.5,
05/03/2019 19:30:00,-105.5,,-105.4,
04/26/2019 19:30:00,-105.4,,-98,
04/19/2019 19:30:00,-98,,-102.2,
04/12/2019 19:30:00,-102.2,,-99.2,
04/05/2019 19:30:00,-99.2,,-80.3,
03/29/2019 19:30:00,-80.3,,-77.7,
03/22/2019 19:30:00,-77.7,,-83,
03/15/2019 19:30:00,-83,,-78.2,
03/08/2019 20:30:00,-78.2,,-74.9,
03/01/2019 20:30:00,-74.9,,-63.9,
02/26/2019 20:30:00,-63.9,,-52,
02/22/2019 20:30:00,-52,,-41,
02/15/2019 20:30:00,-41,,-40.5,
02/08/2019 20:30:00,-40.5,,-46.6,
02/05/2019 20:30:00,-46.6,,-58.5,
02/01/2019 20:30:00,-58.5,,-53.1,
12/21/2018 20:30:00,-53.1,,-56,
12/14/2018 20:30:00,-56,,-60.8,
12/10/2018 20:30:00,-60.8,,-55.1,
11/30/2018 20:30:00,-55.1,,-47.2,
11/26/2018 20:30:00,-47.2,,-37,
11/16/2018 20:30:00,-37,,-46.8,
11/09/2018 20:30:00,-46.8,,-32.7,
11/02/2018 19:30:00,-32.7,,-30.3,
10/26/2018 19:30:00,-30.3,,-29.3,
10/19/2018 19:30:00,-29.3,,-16.1,
10/12/2018 19:30:00,-16.1,,-7.1,
10/05/2018 19:30:00,-7.1,,3.7,
09/28/2018 19:30:00,3.7,,1.7,
09/21/2018 19:30:00,1.7,,11,
09/14/2018 19:30:00,11,,8,
09/07/2018 19:30:00,8,,8,
08/31/2018 19:30:00,8,,-4.8,
08/24/2018 19:30:00,-4.8,,-1.8,
08/17/2018 19:30:00,-1.8,,10.6,
08/10/2018 19:30:00,10.6,,22.8,
08/03/2018 19:30:00,22.8,,29.6,
07/27/2018 19:30:00,29.6,,21.4,
07/20/2018 19:30:00,21.4,,24.4,
07/13/2018 19:30:00,24.4,,36.7,
07/09/2018 19:30:00,36.7,,33.9,
06/29/2018 19:30:00,33.9,,36.1,
06/22/2018 19:30:00,36.1,,88.2,
06/15/2018 19:30:00,88.2,,89.2,
06/08/2018 19:30:00,89.2,,93,
06/01/2018 19:30:00,93,,109.7,
05/25/2018 19:30:00,109.7,,115.1,
05/18/2018 19:30:00,115.1,,120.5,
05/11/2018 19:30:00,120.5,,120.6,
05/04/2018 19:30:00,120.6,,130.6,
04/27/2018 19:30:00,130.6,,151.5,
04/20/2018 19:30:00,151.5,,147.5,
04/13/2018 19:30:00,147.5,,134.44,
04/06/2018 19:30:00,134.44,,141.1,
03/30/2018 19:30:00,141.1,,132.7,
03/23/2018 19:30:00,132.7,,146.4,
03/16/2018 19:30:00,146.4,,133,
03/09/2018 20:30:00,133,,133,
03/02/2018 20:30:00,133,,126.1,
02/23/2018 20:30:00,126.1,,127.3,
02/16/2018 20:30:00,127.3,,140.8,
02/09/2018 20:30:00,140.8,,148.7,
02/02/2018 20:30:00,148.7,,144.7,
01/26/2018 20:30:00,144.7,114,139.5,
01/19/2018 20:30:00,139.5,169.6,144.7,
