DateTime,Actual,Consensus,Previous,Revised
10/04/2019 19:30:00,269,,312.4,
09/27/2019 19:30:00,312.4,,282.6,
09/20/2019 19:30:00,282.6,,269.7,
09/13/2019 19:30:00,269.7,,300.5,
09/06/2019 19:30:00,300.5,,296.8,
08/30/2019 19:30:00,296.8,,300,
08/23/2019 19:30:00,300,,290.1,
08/16/2019 19:30:00,290.1,,292.5,
08/09/2019 19:30:00,292.5,,254.4,
08/02/2019 19:30:00,254.4,,251.2,
07/26/2019 19:30:00,251.2,,245.5,
07/19/2019 19:30:00,245.5,,244.8,
07/12/2019 19:30:00,244.8,,258.9,
07/08/2019 19:30:00,258.9,,236.6,
06/28/2019 19:30:00,236.6,,204.3,
06/21/2019 19:30:00,204.3,,184.2,
06/14/2019 19:30:00,184.2,,156.1,
06/07/2019 19:30:00,156.1,,86.7,
05/31/2019 19:30:00,86.7,,88.8,
05/24/2019 19:30:00,88.8,,124.5,
05/17/2019 19:30:00,124.5,,75.4,
05/10/2019 19:30:00,75.4,,66.2,
05/03/2019 19:30:00,66.2,,37.4,
04/26/2019 19:30:00,37.4,,56.3,
04/19/2019 19:30:00,56.3,,105.4,
04/12/2019 19:30:00,105.4,,94.6,
04/05/2019 19:30:00,94.6,,119.7,
03/29/2019 19:30:00,119.7,,88.4,
03/22/2019 19:30:00,88.4,,78.8,
03/15/2019 19:30:00,78.8,,88,
03/08/2019 20:30:00,88,,145.6,
03/01/2019 20:30:00,145.6,,104.9,
02/26/2019 20:30:00,104.9,,109.1,
02/22/2019 20:30:00,109.1,,74.1,
02/15/2019 20:30:00,74.1,,99.2,
02/08/2019 20:30:00,99.2,,123.8,
02/05/2019 20:30:00,123.8,,111,
02/01/2019 20:30:00,111,,76,
12/21/2018 20:30:00,76,,49,
12/10/2018 20:30:00,49,,1.9,
11/30/2018 20:30:00,1.9,,8.9,
11/26/2018 20:30:00,8.9,,-9.2,
11/16/2018 20:30:00,-9.2,,19,
11/09/2018 20:30:00,19,,13.2,
11/02/2018 19:30:00,13.2,,29.4,
10/26/2018 19:30:00,29.4,,17.7,
10/19/2018 19:30:00,17.7,,-38.2,
10/12/2018 19:30:00,-38.2,,-21.8,
10/05/2018 19:30:00,-21.8,,-17.6,
09/28/2018 19:30:00,-17.6,,-10.8,
09/21/2018 19:30:00,-10.8,,-7.6,
09/14/2018 19:30:00,-7.6,,-13.5,
09/07/2018 19:30:00,-13.5,,-13.5,
08/31/2018 19:30:00,-13.5,,-8.7,
08/24/2018 19:30:00,-8.7,,-3.7,
08/17/2018 19:30:00,-3.7,,12.7,
08/10/2018 19:30:00,12.7,,35.3,
08/03/2018 19:30:00,35.3,,48.6,
07/27/2018 19:30:00,48.6,,57.8,
07/20/2018 19:30:00,57.8,,81.4,
07/13/2018 19:30:00,81.4,,78.3,
07/09/2018 19:30:00,78.3,,76.7,
06/29/2018 19:30:00,76.7,,96.5,
06/22/2018 19:30:00,96.5,,120.2,
06/15/2018 19:30:00,120.2,,111.4,
06/08/2018 19:30:00,111.4,,115.1,
06/01/2018 19:30:00,115.1,,91,
05/25/2018 19:30:00,91,,92.4,
05/18/2018 19:30:00,92.4,,107.4,
05/11/2018 19:30:00,107.4,,106.8,
05/04/2018 19:30:00,106.8,,136.6,
04/27/2018 19:30:00,136.6,,163.1,
04/20/2018 19:30:00,163.1,,155.4,
04/13/2018 19:30:00,155.4,,166.6,
04/06/2018 19:30:00,166.6,,203.4,
03/30/2018 19:30:00,203.4,,148.7,
03/23/2018 19:30:00,148.7,,167.9,
03/16/2018 19:30:00,167.9,,183.8,
03/09/2018 20:30:00,183.8,,183.8,
03/02/2018 20:30:00,183.8,,190.9,
02/23/2018 20:30:00,190.9,,175.6,
02/16/2018 20:30:00,175.6,,190.9,
02/09/2018 20:30:00,190.9,,207.3,
02/02/2018 20:30:00,207.3,,214.7,
01/26/2018 20:30:00,214.7,207,211.7,
01/19/2018 20:30:00,211.7,242,203.3,
01/12/2018 19:30:00,203.3,208.9,163.3,
01/05/2018 20:30:00,163.3,197.9,135.9,
12/29/2017 20:30:00,135.9,101.9,113.8,
12/22/2017 20:30:00,113.8,45.1,107.1,
12/15/2017 20:30:00,107.1,159.2,173.3,
12/08/2017 20:30:00,173.3,,224.4,
12/01/2017 20:30:00,224.4,,201.8,
11/27/2017 20:30:00,201.8,,195.1,
11/17/2017 20:30:00,195.1,,195.8,
11/13/2017 20:30:00,195.8,,193.1,
11/03/2017 19:30:00,193.1,,191.4,
10/27/2017 19:30:00,191.4,,200.7,
10/20/2017 19:30:00,200.7,,200.1,
10/13/2017 19:30:00,200.1,,203.9,
10/06/2017 19:30:00,203.9,,212.6,
09/29/2017 19:30:00,212.6,,236.1,
09/22/2017 19:30:00,236.1,,254.8,
09/15/2017 19:30:00,254.8,,245.3,
09/08/2017 19:30:00,245.3,,231,
09/01/2017 19:30:00,231,,208.4,
08/25/2017 19:30:00,208.4,,187.7,
08/18/2017 19:30:00,187.7,,148.8,
08/11/2017 19:30:00,148.8,,129.7,
08/04/2017 19:30:00,129.7,,90.8,
07/28/2017 19:30:00,90.8,,60.1,
07/21/2017 19:30:00,60.1,,60.3,
07/14/2017 19:30:00,60.3,,93.8,
07/07/2017 19:30:00,93.8,,131.7,
06/30/2017 19:30:00,131.7,,150.7,
06/23/2017 19:30:00,150.7,,190.3,
06/16/2017 19:30:00,190.3,,204.5,
06/09/2017 19:30:00,204.5,,167.1,
06/02/2017 19:30:00,167.1,,159.8,
05/26/2017 19:30:00,159.8,,126.7,
05/19/2017 19:30:00,126.7,,150,
05/12/2017 19:30:00,150,,189.6,
05/05/2017 19:30:00,189.6,,200.7,
04/28/2017 19:30:00,200.7,,195.8,
04/21/2017 19:30:00,195.8,,172.7,
04/14/2017 19:30:00,172.7,,155.4,
04/07/2017 19:30:00,155.4,,137.8,
03/31/2017 19:30:00,137.8,,116.3,
03/24/2017 20:30:00,116.3,,106,
03/17/2017 20:30:00,106,,133.7,
03/10/2017 20:30:00,133.7,,163.8,
03/03/2017 20:30:00,163.8,,123.8,
02/24/2017 20:30:00,123.8,,109.8,
