DateTime,Actual,Consensus,Previous,Revised
10/10/2019 12:30:00,1.684,1.653,1.651,1.655
10/03/2019 12:30:00,1.651,1.645,1.65,1.656
09/26/2019 12:30:00,1.65,1.665,1.661,1.665
09/19/2019 12:30:00,1.661,1.672,1.67,1.674
09/12/2019 12:30:00,1.67,1.69,1.662,1.674
09/05/2019 12:30:00,1.662,1.685,1.698,1.701
08/29/2019 12:30:00,1.698,1.68,1.674,1.676
08/22/2019 12:30:00,1.674,1.7,1.726,1.728
08/15/2019 12:30:00,1.726,1.69,1.684,1.687
08/08/2019 12:30:00,1.684,1.69,1.699,
08/01/2019 12:30:00,1.699,1.678,1.676,1.677
07/25/2019 12:30:00,1.676,1.688,1.686,1.689
07/18/2019 12:30:00,1.686,1.7,1.723,1.728
07/11/2019 12:30:00,1.723,1.685,1.686,1.696
07/03/2019 12:30:00,1.686,1.675,1.688,1.694
06/27/2019 12:30:00,1.688,1.665,1.662,1.666
06/20/2019 12:30:00,1.662,1.688,1.695,1.699
06/13/2019 12:30:00,1.695,1.68,1.682,1.693
06/06/2019 12:30:00,1.682,1.66,1.657,1.664
05/30/2019 12:30:00,1.657,1.662,1.676,1.683
05/23/2019 12:30:00,1.676,1.67,1.66,1.664
05/16/2019 12:30:00,1.66,1.68,1.684,1.688
05/09/2019 12:30:00,1.684,1.67,1.671,
05/02/2019 12:30:00,1.671,1.659,1.655,1.654
04/25/2019 12:30:00,1.655,1.699,1.653,1.654
04/18/2019 12:30:00,1.653,1.72,1.713,1.716
04/11/2019 12:30:00,1.713,1.738,1.717,1.726
04/04/2019 12:30:00,1.717,1.75,1.756,1.755
03/28/2019 12:30:00,1.756,1.75,1.75,1.743
03/21/2019 12:30:00,1.75,1.772,1.776,1.777
03/14/2019 12:30:00,1.776,1.775,1.755,1.758
03/07/2019 13:30:00,1.755,1.775,1.805,
02/28/2019 13:30:00,1.805,1.733,1.725,1.726
02/21/2019 13:30:00,1.725,1.74,1.773,1.78
02/14/2019 13:30:00,1.773,1.74,1.736,
02/07/2019 13:30:00,1.736,1.72,1.782,1.778
01/31/2019 13:30:00,1.782,,1.713,
01/24/2019 13:30:00,1.713,1.735,1.737,
01/17/2019 13:30:00,1.737,1.735,1.722,1.719
01/10/2019 13:30:00,1.722,1.714,1.74,1.75
01/03/2019 13:30:00,1.74,,1.701,1.708
12/27/2018 13:30:00,1.701,1.665,1.688,1.705
12/20/2018 13:30:00,1.688,1.665,1.661,
12/13/2018 13:30:00,1.661,1.65,1.631,1.636
12/06/2018 13:30:00,1.631,1.7,1.71,1.705
11/29/2018 13:30:00,1.71,1.664,1.668,1.66
