DateTime,Actual,Consensus,Previous,Revised
10/09/2019 14:30:00,2.927,1.413,3.1,
10/02/2019 14:30:00,3.1,1.567,3.104,
09/25/2019 14:30:00,3.104,-0.249,1.058,
09/18/2019 14:30:00,1.058,-2.496,-6.912,
09/11/2019 14:30:00,-6.912,-2.6,-4.771,
09/05/2019 15:00:00,-4.771,-2.488,-10.027,
08/28/2019 14:30:00,-10.027,-2.112,-2.732,
08/21/2019 14:30:00,-2.732,-1.889,1.58,
08/14/2019 14:30:00,1.58,-2.761,2.385,
08/07/2019 14:30:00,2.385,-2.845,-8.496,
07/31/2019 14:30:00,-8.496,-2.588,-10.835,
07/24/2019 14:30:00,-10.835,-4.011,-3.116,
07/17/2019 14:30:00,-3.116,-2.694,-9.499,
07/10/2019 14:30:00,-9.499,-3.081,-1.085,
07/03/2019 14:30:00,-1.085,-2.964,-12.788,
06/26/2019 14:30:00,-12.788,-2.54,-3.106,
06/19/2019 14:30:00,-3.106,-1.077,2.206,
06/12/2019 14:30:00,2.206,-0.481,6.771,
06/05/2019 14:30:00,6.771,-0.849,-0.282,
05/30/2019 15:00:00,-0.282,-0.857,4.74,
05/22/2019 14:30:00,4.74,-0.599,5.431,
05/15/2019 14:30:00,5.431,-0.8,-3.963,
05/08/2019 14:30:00,-3.963,1.215,9.934,
05/01/2019 14:30:00,9.934,2.093,5.479,
04/24/2019 14:30:00,5.479,1.255,-1.396,
04/17/2019 14:30:00,-1.396,7.329,7.029,
04/10/2019 14:30:00,7.029,2.294,7.238,
04/03/2019 14:30:00,7.238,-0.425,2.8,
03/27/2019 14:30:00,2.8,0.309,-9.589,
03/20/2019 14:30:00,-9.589,0.309,-3.862,
03/13/2019 14:30:00,-3.862,2.655,7.069,
03/06/2019 15:30:00,7.069,1.203,-8.647,
02/27/2019 15:30:00,-8.647,2.842,3.672,
02/21/2019 16:00:00,3.672,3.08,3.633,
02/13/2019 15:30:00,3.633,2.668,1.263,
02/06/2019 15:30:00,1.263,2.179,0.919,
01/30/2019 15:30:00,0.919,3.155,7.97,
01/24/2019 16:00:00,7.97,-0.042,-2.683,
01/16/2019 15:30:00,-2.683,-1.323,-1.68,
01/09/2019 15:30:00,-1.68,-2.8,0.007,
01/04/2019 16:00:00,0.007,-3.086,-0.046,
12/28/2018 16:00:00,-0.046,-2.869,-0.497,
12/19/2018 15:30:00,-0.497,-2.437,-1.208,
12/12/2018 15:30:00,-1.208,-2.99,-7.323,
12/06/2018 16:00:00,-7.323,-0.942,3.577,
