DateTime,Actual,Consensus,Previous,Revised
10/10/2019 14:30:00,98,97,112,
10/03/2019 14:30:00,112,105,102,
09/26/2019 14:30:00,102,89,84,
09/19/2019 14:30:00,84,78,78,
09/12/2019 14:30:00,78,82,84,
09/05/2019 14:30:00,84,78,60,
08/29/2019 14:30:00,60,60,59,
08/22/2019 14:30:00,59,60,49,
08/15/2019 14:30:00,49,59,55,
08/08/2019 14:30:00,55,59,65,
08/01/2019 14:30:00,65,57,36,
07/25/2019 14:30:00,36,37,62,
07/18/2019 14:30:00,62,65,81,
07/11/2019 14:30:00,81,73,89,
07/03/2019 16:00:00,89,85,98,
06/27/2019 14:30:00,98,101,115,
06/20/2019 14:30:00,115,107,102,
06/13/2019 14:30:00,102,109,119,
06/06/2019 14:30:00,119,111,114,
05/30/2019 14:30:00,114,101,100,
05/23/2019 14:30:00,100,104,106,
05/16/2019 14:30:00,106,104,85,
05/09/2019 14:30:00,85,87,123,
05/02/2019 14:30:00,123,114,92,
04/25/2019 14:30:00,92,91,92,
04/18/2019 14:30:00,92,87,25,
04/11/2019 14:30:00,25,29,23,
04/04/2019 14:30:00,23,10,-36,
03/28/2019 14:30:00,-36,-40,-47,
03/21/2019 14:30:00,-47,-48,-204,
03/14/2019 14:30:00,-204,-208,-149,
03/07/2019 15:30:00,-149,-141,-166,
02/28/2019 15:30:00,-166,-171,-177,
02/21/2019 15:30:00,-177,-162,-78,
02/14/2019 15:30:00,-78,-85,-237,
02/07/2019 15:30:00,-237,-245,-173,
01/31/2019 15:30:00,-173,-189,-163,
01/24/2019 15:30:00,-163,-154,-81,
01/17/2019 15:30:00,-81,,-91,
01/10/2019 15:30:00,-91,-76,-20,
01/04/2019 15:30:00,-20,,-48,
12/28/2018 15:30:00,-48,-52,-141,
12/20/2018 15:30:00,-141,-132,-77,
12/13/2018 15:30:00,-77,-84,-63,
12/07/2018 15:30:00,-63,-64,-59,
11/29/2018 15:30:00,-59,-77,-134,
11/21/2018 17:00:00,-134,-109,39,
11/15/2018 15:30:00,39,33,65,
11/08/2018 15:30:00,65,,48,
11/01/2018 14:30:00,48,50,58,
10/25/2018 14:30:00,58,,81,
10/18/2018 14:30:00,81,82,90,
10/11/2018 14:30:00,90,91,98,
10/04/2018 14:30:00,98,88,46,
09/27/2018 14:30:00,46,63,86,
09/20/2018 14:30:00,86,84,69,
09/13/2018 14:30:00,69,68,63,
09/06/2018 14:30:00,63,62,70,
08/30/2018 14:30:00,70,64,48,
08/23/2018 14:30:00,48,48,33,
08/16/2018 14:30:00,33,31,46,
08/09/2018 14:30:00,46,47,35,
08/02/2018 14:30:00,35,43,24,
07/26/2018 14:30:00,24,36,46,
07/19/2018 14:30:00,46,37,51,
07/12/2018 14:30:00,51,55,78,
07/06/2018 14:30:00,78,75,66,
06/28/2018 14:30:00,66,71,91,
06/21/2018 14:30:00,91,85,96,
06/14/2018 14:30:00,96,90,92,
06/07/2018 14:30:00,92,90,96,
05/31/2018 14:30:00,96,102,91,
05/24/2018 14:30:00,91,92,106,
05/17/2018 14:30:00,106,105,89,
05/10/2018 14:30:00,89,91,62,
05/03/2018 14:30:00,62,52,-18,
04/26/2018 14:30:00,-18,-12,-36,
04/19/2018 14:30:00,-36,-23,-19,
04/12/2018 14:30:00,-19,-14,-29,
04/05/2018 14:30:00,-29,-26,-63,
03/29/2018 14:30:00,-63,-70,-86,
03/22/2018 14:30:00,-86,-87,-93,
03/15/2018 14:30:00,-93,-96,-57,
03/08/2018 15:30:00,-57,-58,-78,
03/01/2018 15:30:00,-78,-77,-124,
02/22/2018 15:30:00,-124,-120,-194,
02/15/2018 15:30:00,-194,-183,-119,
02/08/2018 15:30:00,-119,-116,-99,
02/01/2018 15:30:00,-99,-104,-288,
01/25/2018 15:30:00,-288,-272,-183,
