DateTime,Actual,Consensus,Previous,Revised
10/04/2019 19:30:00,389.3,,424.2,
09/27/2019 19:30:00,424.2,,427.1,
09/20/2019 19:30:00,427.1,,428.2,
09/13/2019 19:30:00,428.2,,384.2,
09/06/2019 19:30:00,384.2,,391.6,
08/30/2019 19:30:00,391.6,,414.6,
08/23/2019 19:30:00,414.6,,382.1,
08/16/2019 19:30:00,382.1,,375.6,
08/09/2019 19:30:00,375.6,,387.3,
08/02/2019 19:30:00,387.3,,397.9,
07/26/2019 19:30:00,397.9,,423.8,
07/19/2019 19:30:00,423.8,,390.1,
07/12/2019 19:30:00,390.1,,392.8,
07/08/2019 19:30:00,392.8,,378.8,
06/28/2019 19:30:00,378.8,,363.1,
06/21/2019 19:30:00,363.1,,351.7,
06/14/2019 19:30:00,351.7,,400.2,
06/07/2019 19:30:00,400.2,,438.9,
05/31/2019 19:30:00,438.9,,478.4,
05/24/2019 19:30:00,478.4,,487.8,
05/17/2019 19:30:00,487.8,,494.3,
05/10/2019 19:30:00,494.3,,524.1,
05/03/2019 19:30:00,524.1,,547.4,
04/26/2019 19:30:00,547.4,,515.3,
04/19/2019 19:30:00,515.3,,516.7,
04/12/2019 19:30:00,516.7,,481.4,
04/05/2019 19:30:00,481.4,,448.6,
03/29/2019 19:30:00,448.6,,414.7,
03/22/2019 19:30:00,414.7,,362.3,
03/15/2019 19:30:00,362.3,,348.8,
03/08/2019 20:30:00,348.8,,314,
03/01/2019 20:30:00,314,,288.2,
02/26/2019 20:30:00,288.2,,321.6,
02/22/2019 20:30:00,321.6,,334.9,
02/15/2019 20:30:00,334.9,,277.2,
02/08/2019 20:30:00,277.2,,298.7,
02/05/2019 20:30:00,298.7,,306.3,
02/01/2019 20:30:00,306.3,,309.6,
12/21/2018 20:30:00,309.6,,330.1,
12/10/2018 20:30:00,330.1,,348.1,
11/30/2018 20:30:00,348.1,,367.2,
11/26/2018 20:30:00,367.2,,381.2,
11/16/2018 20:30:00,381.2,,403.8,
11/09/2018 20:30:00,403.8,,432.6,
11/02/2018 19:30:00,432.6,,455.3,
10/26/2018 19:30:00,455.3,,493.2,
10/19/2018 19:30:00,493.2,,528.1,
10/12/2018 19:30:00,528.1,,548.9,
10/05/2018 19:30:00,548.9,,560.1,
09/28/2018 19:30:00,560.1,,530.4,
09/21/2018 19:30:00,530.4,,543.8,
09/14/2018 19:30:00,543.8,,565.7,
09/07/2018 19:30:00,565.7,,565.7,
08/31/2018 19:30:00,565.7,,538.8,
08/24/2018 19:30:00,538.8,,573.4,
08/17/2018 19:30:00,573.4,,608.9,
08/10/2018 19:30:00,608.9,,613.4,
08/03/2018 19:30:00,613.4,,610.5,
07/27/2018 19:30:00,610.5,,631.3,
07/20/2018 19:30:00,631.3,,654.5,
07/13/2018 19:30:00,654.5,,656.7,
07/09/2018 19:30:00,656.7,,625.1,
06/29/2018 19:30:00,625.1,,580.9,
06/22/2018 19:30:00,580.9,,595.3,
06/15/2018 19:30:00,595.3,,583.6,
06/08/2018 19:30:00,583.6,,607.8,
06/01/2018 19:30:00,607.8,,633.4,
05/25/2018 19:30:00,633.4,,644.4,
05/18/2018 19:30:00,644.4,,679.9,
05/11/2018 19:30:00,679.9,,690.7,
05/04/2018 19:30:00,690.7,,712.4,
04/27/2018 19:30:00,712.4,,728.1,
04/20/2018 19:30:00,728.1,,707.1,
04/13/2018 19:30:00,707.1,,699.5,
04/06/2018 19:30:00,699.5,,715.8,
03/30/2018 19:30:00,715.8,,703.7,
03/23/2018 19:30:00,703.7,,668.5,
03/16/2018 19:30:00,668.5,,686.5,
03/09/2018 20:30:00,686.5,,686.5,
03/02/2018 20:30:00,686.5,,689.4,
02/23/2018 20:30:00,689.4,,712.3,
02/16/2018 20:30:00,712.3,,739.1,
02/09/2018 20:30:00,739.1,,734.6,
02/02/2018 20:30:00,734.6,,716.7,
01/26/2018 20:30:00,716.7,733,707.8,
01/19/2018 20:30:00,707.8,669.4,657.6,
01/12/2018 19:30:00,657.6,646.8,624.2,
01/05/2018 20:30:00,624.2,639.6,632.2,
12/29/2017 20:30:00,632.2,584.9,601.8,
12/22/2017 20:30:00,601.8,638.2,614.5,
12/15/2017 20:30:00,614.5,645.6,611.1,
12/08/2017 20:30:00,611.1,,609.8,
12/01/2017 20:30:00,609.8,,577.1,
11/27/2017 20:30:00,577.1,,596.5,
11/17/2017 20:30:00,596.5,,545.2,
11/13/2017 20:30:00,545.2,,502.9,
11/03/2017 19:30:00,502.9,,446.8,
10/27/2017 19:30:00,446.8,,429.5,
10/20/2017 19:30:00,429.5,,417.1,
10/13/2017 19:30:00,417.1,,444.3,
10/06/2017 19:30:00,444.3,,454.1,
09/29/2017 19:30:00,454.1,,418.1,
09/22/2017 19:30:00,418.1,,374.5,
09/15/2017 19:30:00,374.5,,382.1,
