DateTime,Actual,Consensus,Previous,Revised
10/04/2019 19:30:00,9.4,,5.5,
09/27/2019 19:30:00,5.5,,-11.7,
09/20/2019 19:30:00,-11.7,,-16.4,
09/13/2019 19:30:00,-16.4,,12.3,
09/06/2019 19:30:00,12.3,,68.5,
08/30/2019 19:30:00,68.5,,56.6,
08/23/2019 19:30:00,56.6,,7.4,
08/16/2019 19:30:00,7.4,,88.9,
08/09/2019 19:30:00,88.9,,62.5,
08/02/2019 19:30:00,62.5,,54.4,
07/26/2019 19:30:00,54.4,,38.4,
07/19/2019 19:30:00,38.4,,17.2,
07/12/2019 19:30:00,17.2,,53.1,
07/08/2019 19:30:00,53.1,,86.5,
06/28/2019 19:30:00,86.5,,51.9,
06/21/2019 19:30:00,51.9,,54.9,
06/14/2019 19:30:00,54.9,,89.9,
06/07/2019 19:30:00,89.9,,92.4,
05/31/2019 19:30:00,92.4,,100.8,
05/24/2019 19:30:00,100.8,,93.9,
05/17/2019 19:30:00,93.9,,96.1,
05/10/2019 19:30:00,96.1,,61.3,
05/03/2019 19:30:00,61.3,,2.4,
04/26/2019 19:30:00,2.4,,16,
04/19/2019 19:30:00,16,,-3.1,
04/12/2019 19:30:00,-3.1,,-36.2,
04/05/2019 19:30:00,-36.2,,-36.2,
03/29/2019 19:30:00,-36.2,,-48,
03/22/2019 19:30:00,-48,,-66.9,
03/15/2019 19:30:00,-66.9,,-103.4,
03/08/2019 20:30:00,-103.4,,-130.8,
03/01/2019 20:30:00,-130.8,,-119.5,
02/26/2019 20:30:00,-119.5,,-116.2,
02/22/2019 20:30:00,-116.2,,-4.6,
02/15/2019 20:30:00,-4.6,,131.8,
02/08/2019 20:30:00,131.8,,165.5,
02/05/2019 20:30:00,165.5,,170.2,
02/01/2019 20:30:00,170.2,,210.3,
12/21/2018 20:30:00,210.3,,174.2,
12/14/2018 20:30:00,174.2,,104.1,
12/10/2018 20:30:00,104.1,,215.4,
11/30/2018 20:30:00,215.4,,224.3,
11/26/2018 20:30:00,224.3,,201.4,
11/16/2018 20:30:00,201.4,,198,
11/09/2018 20:30:00,198,,263,
11/02/2018 19:30:00,263,,239.4,
10/26/2018 19:30:00,239.4,,226.8,
10/19/2018 19:30:00,226.8,,255.8,
10/12/2018 19:30:00,255.8,,228,
10/05/2018 19:30:00,228,,197.9,
09/28/2018 19:30:00,197.9,,150,
09/21/2018 19:30:00,150,,122.2,
09/14/2018 19:30:00,122.2,,162.2,
09/07/2018 19:30:00,162.2,,162.2,
08/31/2018 19:30:00,162.2,,124.2,
08/24/2018 19:30:00,124.2,,179.7,
08/17/2018 19:30:00,179.7,,165.2,
08/10/2018 19:30:00,165.2,,170.3,
08/03/2018 19:30:00,170.3,,181.9,
07/27/2018 19:30:00,181.9,,183,
07/20/2018 19:30:00,183,,172,
07/13/2018 19:30:00,172,,168,
07/09/2018 19:30:00,168,,197.2,
06/29/2018 19:30:00,197.2,,189.2,
06/22/2018 19:30:00,189.2,,169.4,
06/15/2018 19:30:00,169.4,,162.1,
06/08/2018 19:30:00,162.1,,124.1,
06/01/2018 19:30:00,124.1,,185.2,
