DateTime,Currency,Name,Country,Volatility,Actual,Previous,Consensus
01/05/2015 09:30:00,EUR,Sentix Investor Confidence,European Monetary Union,1,0.900,-2.500,-0.900
01/05/2015 13:00:00,EUR,Consumer Price Index (YoY),Germany,2,0.200,0.600,0.300
01/05/2015 13:00:00,EUR,Consumer Price Index (MoM),Germany,2,0.000,0.000,0.200
01/05/2015 13:00:00,EUR,Harmonized Index of Consumer Prices (YoY),Germany,2,0.100,0.500,0.200
01/05/2015 13:00:00,EUR,Harmonized Index of Consumer Prices (MoM),Germany,2,0.100,0.000,0.200
01/05/2015 14:45:00,USD,ISM-NY Business Conditions Index,United States,1,70.800,62.400,
01/05/2015 16:30:00,USD,3-Month Bill Auction,United States,1,0.030,0.040,
01/05/2015 16:30:00,USD,6-Month Bill Auction,United States,1,0.110,0.130,
01/05/2015 22:24:15,USD,Total Vehicle Sales,United States,1,16.900,17.200,16.900
01/06/2015 07:45:00,EUR,Consumer Confidence,France,1,90.000,88.000,88.000
01/06/2015 08:50:00,EUR,Markit PMI Composite,France,1,49.700,49.100,
01/06/2015 08:50:00,EUR,Markit Services PMI,France,1,50.600,49.800,49.800
01/06/2015 08:55:00,EUR,Markit PMI Composite,Germany,1,52.000,,
01/06/2015 08:55:00,EUR,Markit Services PMI,Germany,1,52.100,51.400,51.400
01/06/2015 09:00:00,EUR,Markit Services PMI,European Monetary Union,1,51.600,51.900,51.900
01/06/2015 09:00:00,EUR,Markit PMI Composite,European Monetary Union,1,51.400,51.700,
01/06/2015 13:55:00,USD,Redbook Index (YoY),United States,1,4.300,5.400,
01/06/2015 13:55:00,USD,Redbook Index (MoM),United States,1,-0.600,-0.500,
01/06/2015 14:45:00,USD,Markit Services PMI,United States,2,53.300,53.600,
01/06/2015 14:45:00,USD,Markit PMI Composite,United States,2,53.500,53.800,
01/06/2015 15:00:00,USD,ISM Non-Manufacturing PMI,United States,3,56.200,59.300,58.200
01/06/2015 15:00:00,USD,Factory Orders (MoM),United States,2,-1.700,-0.700,-0.500
01/06/2015 16:30:00,USD,52-Week Bill Auction,United States,1,0.250,0.210,
01/06/2015 16:30:00,USD,4-Week Bill Auction,United States,1,0.010,0.015,
01/07/2015 07:00:00,EUR,Retail Sales (MoM),Germany,2,0.900,2.000,0.000
01/07/2015 07:00:00,EUR,Retail Sales (YoY),Germany,2,-1.000,2.100,
01/07/2015 08:00:00,EUR,Non-Monetary Policy ECB Meeting,European Monetary Union,3,,,
01/07/2015 08:55:00,EUR,Unemployment Change,Germany,3,-25.000,-16.000,-6.000
01/07/2015 08:55:00,EUR,Unemployment Rate s.a.,Germany,3,6.600,6.600,6.600
01/07/2015 09:00:00,EUR,2-year Notes Auction,Germany,1,-0.110,-0.040,
01/07/2015 10:00:00,EUR,Unemployment Rate,European Monetary Union,2,11.500,11.500,11.500
01/07/2015 10:00:00,EUR,Consumer Price Index - Core (YoY),European Monetary Union,3,0.800,0.700,0.600
01/07/2015 10:00:00,EUR,Consumer Price Index (YoY),European Monetary Union,3,-0.200,0.300,-0.100
01/07/2015 12:00:00,USD,MBA Mortgage Applications,United States,2,11.100,0.900,
01/07/2015 13:15:00,USD,ADP Employment Change,United States,2,253.000,227.000,225.000
01/07/2015 13:30:00,USD,Trade Balance,United States,2,-39.750,-42.250,-42.000
01/07/2015 15:30:00,USD,EIA Crude Oil Stocks Change,United States,1,-3.062,-1.754,0.880
01/07/2015 19:00:00,USD,FOMC Minutes,United States,3,,,
01/07/2015 23:30:00,USD,Fed's Evans speech,United States,1,,,
01/08/2015 07:00:00,EUR,Factory Orders n.s.a. (YoY),Germany,2,-0.400,2.600,
01/08/2015 07:00:00,EUR,Factory Orders s.a. (MoM),Germany,1,-2.400,2.900,-0.700
01/08/2015 10:00:00,EUR,Producer Price Index (YoY),European Monetary Union,1,-1.600,-1.300,
01/08/2015 10:00:00,EUR,Producer Price Index (MoM),European Monetary Union,1,-0.300,-0.300,
01/08/2015 10:00:00,EUR,Retail Sales (MoM),European Monetary Union,1,0.700,0.600,0.100
01/08/2015 10:00:00,EUR,Retail Sales (YoY),European Monetary Union,2,1.600,1.600,
01/08/2015 10:00:16,EUR,Business Climate,European Monetary Union,1,0.150,0.180,
01/08/2015 10:00:27,EUR,Economic Sentiment Indicator,European Monetary Union,1,100.600,100.800,
01/08/2015 10:00:37,EUR,Services Sentiment,European Monetary Union,1,4.000,4.400,
01/08/2015 10:00:40,EUR,Industrial Confidence,European Monetary Union,1,-4.000,-4.300,
01/08/2015 10:00:57,EUR,Consumer Confidence,European Monetary Union,2,-12.000,-10.900,
01/08/2015 10:15:24,EUR,10-y Bond Auction,France,1,0.790,1.110,
01/08/2015 12:30:00,USD,Challenger Job Cuts,United States,1,32.640,35.940,
01/08/2015 13:30:00,USD,Initial Jobless Claims,United States,2,297.000,298.000,290.000
01/08/2015 13:30:00,USD,Continuing Jobless Claims,United States,2,2.475,2.351,2.368
01/08/2015 15:30:00,USD,EIA Natural Gas Storage Change,United States,1,-131.000,-26.000,-121.000
01/08/2015 20:00:00,USD,Consumer Credit Change,United States,2,13.470,15.970,15.000
01/09/2015 07:00:00,EUR,Industrial Production s.a. (MoM),Germany,1,0.100,0.600,0.400
01/09/2015 07:00:00,EUR,Industrial Production n.s.a. w.d.a. (YoY),Germany,2,-0.300,1.200,
01/09/2015 07:00:00,EUR,Current Account n.s.a.,Germany,1,18.900,22.500,
01/09/2015 07:00:00,EUR,Trade Balance s.a.,Germany,2,17.900,20.800,20.700
01/09/2015 07:00:00,EUR,Exports (MoM),Germany,1,-2.200,-0.500,-0.150
01/09/2015 07:00:00,EUR,Imports (MoM),Germany,1,1.200,-3.300,0.400
01/09/2015 07:45:00,EUR,"Imports, EUR",France,1,40.407,41.500,
01/09/2015 07:45:00,EUR,"Exports, EUR",France,1,37.171,36.900,
01/09/2015 07:45:00,EUR,Trade Balance EUR,France,1,-3.236,-4.600,
01/09/2015 07:45:00,EUR,Industrial Output (MoM),France,1,-0.200,-0.700,0.300
01/09/2015 13:30:00,USD,Nonfarm Payrolls,United States,3,329.000,353.000,240.000
01/09/2015 13:30:00,USD,Average Hourly Earnings (YoY),United States,2,1.700,2.100,
01/09/2015 13:30:00,USD,Average Weekly Hours,United States,2,34.600,34.600,34.600
01/09/2015 13:30:00,USD,Average Hourly Earnings (MoM),United States,1,-0.200,0.200,0.200
01/09/2015 13:30:00,USD,Labor Force Participation Rate,United States,2,62.700,62.900,
01/09/2015 13:30:00,USD,Unemployment Rate,United States,3,5.600,5.800,5.700
01/09/2015 15:00:00,USD,Wholesale Inventories,United States,2,0.800,0.600,0.300
01/09/2015 18:20:00,USD,Fed's Lacker speech,United States,1,,,
01/12/2015 15:11:26,USD,Labor Market Conditions Index,United States,2,7.300,5.500,
01/12/2015 16:30:00,USD,3-Month Bill Auction,United States,1,0.025,0.030,
01/12/2015 16:30:00,USD,6-Month Bill Auction,United States,1,0.085,0.110,
01/12/2015 17:40:00,USD,Fed's Lockhart speech,United States,1,,,
01/12/2015 18:00:00,USD,3-Year Note Auction,United States,1,0.926,1.066,
01/13/2015 07:00:00,EUR,Wholesale Price Index (YoY),Germany,1,-2.300,-1.100,
01/13/2015 07:00:00,EUR,Wholesale Price Index (MoM),Germany,1,-1.000,-0.700,
01/13/2015 13:55:00,USD,Redbook Index (YoY),United States,1,3.800,4.300,
01/13/2015 13:55:00,USD,Redbook Index (MoM),United States,1,-3.200,-0.600,
01/13/2015 14:00:00,USD,NFIB Business Optimism Index,United States,1,100.400,98.100,98.600
01/13/2015 15:00:00,USD,JOLTS Job Openings,United States,1,4.847,4.834,4.863
01/13/2015 15:00:00,USD,IBD/TIPP Economic Optimism (MoM),United States,1,51.500,48.400,48.900
01/13/2015 16:30:00,USD,4-Week Bill Auction,United States,1,0.015,0.010,
01/13/2015 18:00:00,USD,10-Year Note Auction,United States,1,1.930,2.214,
01/13/2015 19:00:00,USD,Monthly Budget Statement,United States,1,2.000,-56.800,3.000
01/13/2015 22:00:15,USD,Fed Minneapolis's Kocherlakota speech,United States,1,,,
