DateTime,Currency,Name,Country,Volatility,Actual,Previous,Consensus
01/01/2019 00:00:00,EUR,New Year's Day,France,0,,,
01/01/2019 00:00:00,USD,New Year's Day,United States,0,,,
01/01/2019 00:00:00,EUR,New Year's Day,Germany,0,,,
01/02/2019 08:50:00,EUR,Markit Manufacturing PMI,France,1,49.700,49.700,49.700
01/02/2019 08:55:00,EUR,Markit Manufacturing PMI,Germany,2,51.500,51.500,51.500
01/02/2019 09:00:00,EUR,Markit Manufacturing PMI,European Monetary Union,2,51.400,51.400,51.400
01/02/2019 13:55:00,USD,Redbook Index (YoY),United States,1,9.300,7.800,
01/02/2019 13:55:00,USD,Redbook Index (MoM),United States,1,0.600,0.100,
01/02/2019 14:45:00,USD,Markit Manufacturing PMI,United States,2,53.800,53.900,
01/03/2019 09:00:00,EUR,M3 Money Supply (3m),European Monetary Union,1,3.700,3.700,
01/03/2019 09:00:00,EUR,Private Loans (YoY),European Monetary Union,1,3.300,3.200,3.300
01/03/2019 09:00:00,EUR,M3 Money Supply (YoY),European Monetary Union,1,3.700,3.900,3.800
01/03/2019 12:00:00,USD,MBA Mortgage Applications,United States,1,-8.500,-5.800,
01/03/2019 12:30:00,USD,Challenger Job Cuts,United States,1,43.884,53.073,
01/03/2019 13:15:00,USD,ADP Employment Change,United States,2,271.000,179.000,178.000
01/03/2019 13:30:00,USD,Continuing Jobless Claims,United States,2,1.740,1.701,
01/03/2019 13:30:00,USD,Initial Jobless Claims,United States,2,231.000,216.000,220.000
01/03/2019 13:30:00,USD,Initial Jobless Claims 4-week average,United States,2,221.750,,
01/03/2019 14:45:00,USD,ISM-NY Business Conditions Index,United States,1,65.400,67.800,
01/03/2019 15:00:00,USD,ISM Prices Paid,United States,2,54.900,60.700,58.000
01/03/2019 15:00:00,USD,ISM Manufacturing PMI,United States,3,54.100,59.300,57.900
01/03/2019 16:30:00,USD,4-Week Bill Auction,United States,1,2.390,2.400,
01/03/2019 20:30:00,USD,Total Vehicle Sales,United States,1,17.550,17.500,17.200
01/03/2019 21:30:00,USD,API Weekly Crude Oil Stock,United States,1,-4.500,6.920,
01/04/2019 07:45:00,EUR,Consumer Price Index (EU norm) (YoY),France,2,1.900,2.200,2.000
01/04/2019 07:45:00,EUR,Consumer Price Index (EU norm) (MoM),France,1,0.100,-0.200,
01/04/2019 08:50:00,EUR,Markit PMI Composite,France,1,48.700,49.300,49.400
01/04/2019 08:50:00,EUR,Markit Services PMI,France,1,49.000,49.600,49.600
01/04/2019 08:55:00,EUR,Unemployment Rate s.a.,Germany,2,5.000,5.000,5.000
01/04/2019 08:55:00,EUR,Unemployment Change,Germany,2,-14.000,-16.000,-11.000
01/04/2019 08:55:00,EUR,Markit Services PMI,Germany,2,51.800,52.500,52.500
01/04/2019 08:55:00,EUR,Markit PMI Composite,Germany,1,51.600,52.200,52.200
01/04/2019 09:00:00,EUR,Markit Services PMI,European Monetary Union,2,51.200,51.400,51.400
01/04/2019 09:00:00,EUR,Markit PMI Composite,European Monetary Union,2,51.100,51.300,51.300
01/04/2019 10:00:00,EUR,Consumer Price Index (YoY),European Monetary Union,3,1.600,1.900,1.800
01/04/2019 10:00:00,EUR,Consumer Price Index - Core (YoY),European Monetary Union,3,1.000,1.000,1.000
01/04/2019 10:00:00,EUR,Producer Price Index (YoY),European Monetary Union,1,4.000,4.900,4.100
01/04/2019 10:00:00,EUR,Producer Price Index (MoM),European Monetary Union,1,-0.300,0.800,-0.200
01/04/2019 13:30:00,USD,Average Hourly Earnings (MoM),United States,2,0.400,0.200,0.300
01/04/2019 13:30:00,USD,U6 Underemployment Rate,United States,1,7.600,7.600,
01/04/2019 13:30:00,USD,Unemployment Rate,United States,2,3.900,3.700,3.700
01/04/2019 13:30:00,USD,Labor Force Participation Rate,United States,2,63.100,62.900,
01/04/2019 13:30:00,USD,Average Weekly Hours,United States,1,34.500,34.400,34.500
01/04/2019 13:30:00,USD,Average Hourly Earnings (YoY),United States,3,3.200,3.100,3.000
01/04/2019 13:30:00,USD,Nonfarm Payrolls,United States,3,312.000,155.000,177.000
01/04/2019 14:45:00,USD,Markit Services PMI,United States,2,54.400,53.400,53.600
01/04/2019 14:45:00,USD,Markit PMI Composite,United States,2,54.400,53.600,54.700
01/04/2019 15:15:00,USD,Fed's Bostic speech,United States,2,,,
01/04/2019 15:15:00,USD,Fed's Chair Powell speech,United States,3,,,
01/04/2019 15:30:00,USD,EIA Natural Gas Storage Change,United States,1,-20.000,-48.000,
01/04/2019 16:00:00,USD,EIA Crude Oil Stocks Change,United States,1,0.007,-0.046,-3.086
01/04/2019 18:00:00,USD,Baker Hughes US Oil Rig Count,United States,2,877.000,885.000,
01/04/2019 18:30:00,USD,Fed's Barkin speech,United States,1,,,
01/04/2019 18:30:00,USD,Fed's Bullard speech,United States,2,,,
01/05/2019 15:15:00,USD,Fed's Bostic speech,United States,2,,,
01/07/2019 07:00:00,EUR,Retail Sales (YoY),Germany,1,1.100,5.000,-0.900
01/07/2019 07:00:00,EUR,Retail Sales (MoM),Germany,2,1.400,-0.300,0.300
01/07/2019 07:00:00,EUR,Factory Orders n.s.a. (YoY),Germany,1,-4.300,-2.700,
01/07/2019 07:00:00,EUR,Factory Orders s.a. (MoM),Germany,1,-1.000,0.300,-0.500
01/07/2019 09:30:00,EUR,Sentix Investor Confidence,European Monetary Union,1,-1.500,-0.300,-2.800
01/07/2019 10:00:00,EUR,Retail Sales (YoY),European Monetary Union,1,1.100,1.700,
01/07/2019 10:00:00,EUR,Retail Sales (MoM),European Monetary Union,1,0.600,0.300,0.100
01/07/2019 15:00:00,USD,ISM Non-Manufacturing PMI,United States,2,57.600,60.700,59.000
01/07/2019 16:30:00,USD,3-Month Bill Auction,United States,1,2.410,2.415,
01/07/2019 16:30:00,USD,6-Month Bill Auction,United States,1,2.470,2.480,
01/07/2019 17:40:00,USD,Fed's Bostic speech,United States,2,,,
01/08/2019 07:00:00,EUR,Industrial Production s.a. (MoM),Germany,1,-1.900,-0.500,0.300
01/08/2019 07:00:00,EUR,Industrial Production n.s.a. w.d.a. (YoY),Germany,2,-4.700,1.800,
01/08/2019 07:45:00,EUR,Trade Balance EUR,France,1,-5.100,-4.100,
01/08/2019 07:45:00,EUR,"Imports, EUR",France,1,46.300,47.300,
01/08/2019 07:45:00,EUR,"Exports, EUR",France,1,41.200,43.200,
01/08/2019 07:45:00,EUR,Current Account,France,1,-2.800,-0.700,
01/08/2019 10:00:00,EUR,Consumer Confidence,European Monetary Union,1,-6.200,-6.200,-6.200
01/08/2019 10:00:00,EUR,Services Sentiment,European Monetary Union,1,12.000,13.300,12.300
01/08/2019 10:00:00,EUR,Business Climate,European Monetary Union,2,0.820,1.090,0.990
01/08/2019 10:00:00,EUR,Industrial Confidence,European Monetary Union,1,1.100,3.400,2.900
01/08/2019 10:00:00,EUR,Economic Sentiment Indicator,European Monetary Union,1,107.300,109.500,108.200
01/08/2019 11:00:00,USD,NFIB Business Optimism Index,United States,1,104.400,104.800,
01/08/2019 13:55:00,USD,Redbook Index (MoM),United States,1,0.800,0.600,
01/08/2019 13:55:00,USD,Redbook Index (YoY),United States,1,8.900,9.300,
01/08/2019 15:00:00,USD,JOLTS Job Openings,United States,1,6.888,7.079,7.063
01/08/2019 18:00:00,USD,3-Year Note Auction,United States,1,2.559,2.748,
01/08/2019 20:00:00,USD,Consumer Credit Change,United States,2,22.150,25.380,18.000
01/08/2019 21:30:00,USD,API Weekly Crude Oil Stock,United States,1,-6.270,-4.500,
01/09/2019 02:00:00,USD,President Trump speech,United States,3,,,
01/09/2019 07:00:00,EUR,Exports (MoM),Germany,1,-0.400,0.700,-0.300
01/09/2019 07:00:00,EUR,Trade Balance s.a.,Germany,2,19.000,17.300,18.000
01/09/2019 07:00:00,EUR,Current Account n.s.a.,Germany,1,21.400,15.900,
01/09/2019 07:00:00,EUR,Imports (MoM),Germany,1,-1.600,1.300,0.000
01/09/2019 07:45:00,EUR,Consumer Confidence,France,1,87.000,92.000,90.000
01/09/2019 08:00:00,EUR,Non-Monetary Policy ECB Meeting,European Monetary Union,2,,,
01/09/2019 10:00:00,EUR,10-y Bond Auction,Germany,2,0.290,0.340,
01/09/2019 10:00:00,EUR,Unemployment Rate,European Monetary Union,2,7.900,8.100,8.100
01/09/2019 12:00:00,USD,MBA Mortgage Applications,United States,1,23.500,-8.500,
01/09/2019 13:20:00,USD,Fed's Bostic speech,United States,2,,,
01/09/2019 14:00:00,USD,Fed's Evans speech,United States,1,,,
01/09/2019 15:30:00,USD,EIA Crude Oil Stocks Change,United States,1,-1.680,0.007,-2.800
01/09/2019 16:30:00,USD,Fed's Rosengren speech,United States,2,,,
01/09/2019 18:00:00,USD,10-Year Note Auction,United States,1,2.728,2.915,
01/09/2019 19:00:00,USD,FOMC Minutes,United States,3,,,
01/10/2019 07:45:00,EUR,Industrial Output (MoM),France,1,-1.300,1.200,0.000
01/10/2019 10:14:27,EUR,10-y Bond Auction,France,1,0.680,0.820,
01/10/2019 12:30:00,EUR,ECB Monetary Policy Meeting Accounts,European Monetary Union,3,,,
01/10/2019 13:30:00,USD,Continuing Jobless Claims,United States,2,1.722,1.740,1.714
01/10/2019 13:30:00,USD,Initial Jobless Claims,United States,2,216.000,231.000,225.000
01/10/2019 13:30:00,USD,Initial Jobless Claims 4-week average,United States,2,223.750,221.750,
01/10/2019 15:30:00,USD,EIA Natural Gas Storage Change,United States,1,-91.000,-20.000,-76.000
01/10/2019 16:30:00,USD,4-Week Bill Auction,United States,1,2.380,2.390,
01/10/2019 17:40:00,USD,Fed's Bullard speech,United States,2,,,
01/10/2019 17:45:00,USD,Fed's Chair Powell speech,United States,3,,,
01/10/2019 18:00:00,USD,30-Year Bond Auction,United States,1,3.035,3.165,
01/10/2019 18:00:00,USD,Fed's Evans speech,United States,1,,,
01/11/2019 00:00:00,USD,Fed's Clarida speech,United States,2,,,
01/11/2019 13:30:00,USD,Consumer Price Index (MoM),United States,2,-0.100,0.000,-0.100
01/11/2019 13:30:00,USD,Consumer Price Index Core s.a,United States,2,260.030,259.481,
01/11/2019 13:30:00,USD,Consumer Price Index ex Food & Energy (MoM),United States,2,0.200,0.200,0.200
01/11/2019 13:30:00,USD,Consumer Price Index n.s.a (MoM),United States,1,251.230,252.040,251.100
01/11/2019 13:30:00,USD,Consumer Price Index ex Food & Energy (YoY),United States,3,2.200,2.200,2.200
01/11/2019 13:30:00,USD,Consumer Price Index (YoY),United States,2,1.900,2.200,1.900
01/11/2019 18:00:00,USD,Baker Hughes US Oil Rig Count,United States,2,873.000,877.000,
01/14/2019 07:00:00,EUR,Wholesale Price Index (MoM),Germany,1,-1.200,0.200,
01/14/2019 07:00:00,EUR,Wholesale Price Index (YoY),Germany,1,2.500,3.500,
01/14/2019 10:00:00,EUR,Industrial Production w.d.a. (YoY),European Monetary Union,1,-3.300,1.200,-2.300
01/14/2019 10:00:00,EUR,Industrial Production s.a. (MoM),European Monetary Union,2,-1.700,0.200,-1.500
01/14/2019 16:30:00,USD,6-Month Bill Auction,United States,1,2.460,2.470,
01/14/2019 16:30:00,USD,3-Month Bill Auction,United States,1,2.405,2.410,
01/15/2019 07:45:00,EUR,Consumer Price Index (EU norm) (MoM),France,1,0.100,0.100,0.100
01/15/2019 07:45:00,EUR,Consumer Price Index (EU norm) (YoY),France,2,1.900,1.900,1.900
01/15/2019 07:45:00,EUR,Inflation ex-tobacco (MoM),France,1,0.000,-0.200,
01/15/2019 07:45:00,EUR,Budget,France,1,-95.600,-86.980,
01/15/2019 09:00:00,EUR,Real GDP Growth,Germany,1,1.500,2.200,
01/15/2019 10:00:00,EUR,Trade Balance s.a.,European Monetary Union,1,15.100,13.500,
01/15/2019 10:00:00,EUR,Trade Balance n.s.a.,European Monetary Union,1,19.000,14.000,13.700
01/15/2019 13:30:00,USD,NY Empire State Manufacturing Index,United States,1,3.900,10.900,10.750
01/15/2019 13:30:00,USD,Producer Price Index (YoY),United States,1,2.500,2.500,2.500
01/15/2019 13:30:00,USD,Producer Price Index ex Food & Energy (MoM),United States,1,-0.100,0.300,0.200
01/15/2019 13:30:00,USD,Producer Price Index ex Food & Energy (YoY),United States,2,2.700,2.700,2.900
01/15/2019 13:30:00,USD,Producer Price Index (MoM),United States,1,-0.200,0.100,-0.100
01/15/2019 13:55:00,USD,Redbook Index (YoY),United States,1,6.700,8.900,
01/15/2019 13:55:00,USD,Redbook Index (MoM),United States,1,-1.700,0.800,
01/15/2019 15:00:00,EUR,ECB's President Draghi speech,European Monetary Union,3,,,
01/15/2019 15:19:21,USD,IBD/TIPP Economic Optimism (MoM),United States,1,52.300,52.600,53.100
01/15/2019 18:00:00,USD,Fed's George speech,United States,1,,,
01/15/2019 21:30:00,USD,API Weekly Crude Oil Stock,United States,1,-0.560,-6.270,
01/16/2019 07:00:00,EUR,Harmonized Index of Consumer Prices (MoM),Germany,1,0.300,0.300,0.300
01/16/2019 07:00:00,EUR,Harmonized Index of Consumer Prices (YoY),Germany,3,1.700,1.700,1.700
01/16/2019 07:00:00,EUR,Consumer Price Index (MoM),Germany,1,0.100,0.100,0.100
01/16/2019 07:00:00,EUR,Consumer Price Index (YoY),Germany,1,1.700,1.700,1.700
01/16/2019 10:42:55,EUR,30-y Bond Auction,Germany,1,0.850,1.040,
01/16/2019 12:00:00,USD,MBA Mortgage Applications,United States,1,13.500,23.500,
01/16/2019 13:30:00,USD,Import Price Index (MoM),United States,1,-1.000,-1.600,-1.300
01/16/2019 13:30:00,USD,Export Price Index (MoM),United States,1,-0.600,-0.900,-0.600
01/16/2019 13:30:00,USD,Import Price Index (YoY),United States,1,-0.600,0.700,
01/16/2019 13:30:00,USD,Export Price Index (YoY),United States,1,1.100,1.800,
01/16/2019 15:00:00,USD,NAHB Housing Market Index,United States,1,58.000,56.000,56.000
01/16/2019 15:30:00,USD,EIA Crude Oil Stocks Change,United States,1,-2.683,-1.680,-1.323
01/16/2019 16:30:00,USD,Fed's Kashkari speech,United States,2,,,
01/16/2019 19:00:00,USD,Fed's Beige Book,United States,2,,,
01/17/2019 00:00:00,EUR,G20 Meeting,European Monetary Union,2,,,
01/17/2019 10:00:00,EUR,Consumer Price Index (YoY),European Monetary Union,3,1.600,1.600,1.600
01/17/2019 10:00:00,EUR,Consumer Price Index - Core (MoM),European Monetary Union,2,0.500,-0.300,0.500
01/17/2019 10:00:00,EUR,Consumer Price Index (MoM),European Monetary Union,2,0.000,-0.200,0.000
01/17/2019 10:00:00,EUR,Consumer Price Index - Core (YoY),European Monetary Union,3,1.000,1.000,1.000
01/17/2019 10:00:00,EUR,Construction Output w.d.a (YoY),European Monetary Union,1,0.900,1.800,
01/17/2019 10:00:00,EUR,Construction Output  s.a (MoM),European Monetary Union,1,-0.090,-1.630,
01/17/2019 13:30:00,USD,Initial Jobless Claims,United States,2,213.000,216.000,220.000
